Anna Pavlovna,Princess Darya Alexandrovna,2
Tanya,Prince Stepan Arkadyevitch Oblonsky,6
Tanya,Grisha,14
Tanya,Sergey,2
Tanya,Anna Arkadyevna Karenin,6
Tanya,Princess Darya Alexandrovna,18
Tanya,Marya Philimonovna,2
Tanya,Konstantin Dmitrievitch Levin,8
Tanya,Princess Ekaterina Alexandrovna Shtcherbatsky,6
Tanya,Sergey Ivanovitch Koznishev,2
Tanya,Professor Katavasov,4
Lieutenant Petritsky,Count Alexey Kirillovitch Vronsky,26
Lieutenant Petritsky,Baroness Shilton,4
Lieutenant Petritsky,Captain Kamerovsky,2
Lieutenant Petritsky,Countess Vronsky,4
Lieutenant Petritsky,Captain Yashvin,10
Baroness Shilton,Captain Kamerovsky,2
Baroness Shilton,Count Alexey Kirillovitch Vronsky,4
Baroness Shilton,Lieutenant Petritsky,4
Baroness Shilton,Princess Betsy Tverskoy,2
Baroness Shilton,Anna Arkadyevna Karenin,2
Varya,Alexey Alexandrovitch Karenin,6
Varya,Captain Yashvin,2
Varya,Anna Arkadyevna Karenin,6
Varya,Count Alexey Kirillovitch Vronsky,4
Varya,Madame Karenina,2
Varya,Countess Vronsky,6
Varya,Princess Betsy Tverskoy,2
Konstantin Dmitrievitch Levin,Prince Stepan Arkadyevitch Oblonsky,312
Konstantin Dmitrievitch Levin,Nikolay Levin,236
Konstantin Dmitrievitch Levin,Sergey Ivanovitch Koznishev,128
Konstantin Dmitrievitch Levin,Princess Ekaterina Alexandrovna Shtcherbatsky,286
Konstantin Dmitrievitch Levin,Princess Natalia,10
Konstantin Dmitrievitch Levin,Prince Alexander Shtcherbatsky,20
Konstantin Dmitrievitch Levin,Mlle. Linon,8
Konstantin Dmitrievitch Levin,Princess Darya Alexandrovna,132
Konstantin Dmitrievitch Levin,Arseny Lvov,22
Konstantin Dmitrievitch Levin,Count Alexey Kirillovitch Vronsky,104
Konstantin Dmitrievitch Levin,Nikolay Ivanovitch Sviazhsky,98
Konstantin Dmitrievitch Levin,Countess Nordston,22
Konstantin Dmitrievitch Levin,Anna Arkadyevna Karenin,36
Konstantin Dmitrievitch Levin,Yegorushka Korsunsky,2
Konstantin Dmitrievitch Levin,Kritsky,4
Konstantin Dmitrievitch Levin,Marya Nikolaevna,46
Konstantin Dmitrievitch Levin,Agafea Mihalovna,38
Konstantin Dmitrievitch Levin,Vassily Fedorovitch,12
Konstantin Dmitrievitch Levin,Varvara Andreevna,22
Konstantin Dmitrievitch Levin,Marya Philimonovna,4
Konstantin Dmitrievitch Levin,Grisha,12
Konstantin Dmitrievitch Levin,Tanya,8
Konstantin Dmitrievitch Levin,Madame Sviazhskaya,4
Konstantin Dmitrievitch Levin,Alexey Alexandrovitch Karenin,16
Konstantin Dmitrievitch Levin,Countess Vronsky,10
Konstantin Dmitrievitch Levin,Professor Katavasov,38
Konstantin Dmitrievitch Levin,Sergey,2
Konstantin Dmitrievitch Levin,Vassenka Veslovsky,90
Konstantin Dmitrievitch Levin,Countess Lidia Ivanovna,2
Konstantin Dmitrievitch Levin,Professor Metrov,16
Konstantin Dmitrievitch Levin,Captain Yashvin,6
Konstantin Dmitrievitch Levin,Mihailov,2
Prince Alexander Shtcherbatsky,Princess Natalia,2
Prince Alexander Shtcherbatsky,Konstantin Dmitrievitch Levin,20
Prince Alexander Shtcherbatsky,Princess Ekaterina Alexandrovna Shtcherbatsky,24
Prince Alexander Shtcherbatsky,Nikolay Levin,12
Prince Alexander Shtcherbatsky,Mlle. Linon,2
Prince Alexander Shtcherbatsky,Princess Darya Alexandrovna,6
Prince Alexander Shtcherbatsky,Count Alexey Kirillovitch Vronsky,10
Prince Alexander Shtcherbatsky,Alexey Alexandrovitch Karenin,6
Prince Alexander Shtcherbatsky,Madame Stahl,2
Prince Alexander Shtcherbatsky,Prince Stepan Arkadyevitch Oblonsky,6
Prince Alexander Shtcherbatsky,Sergey Ivanovitch Koznishev,6
Prince Alexander Shtcherbatsky,Anna Arkadyevna Karenin,2
Prince Alexander Shtcherbatsky,Vassily Fedorovitch,4
Prince Alexander Shtcherbatsky,Sergey,2
Prince Alexander Shtcherbatsky,Varvara Andreevna,2
Prince Alexander Shtcherbatsky,Agafea Mihalovna,2
Prince Alexander Shtcherbatsky,Nikolay Ivanovitch Sviazhsky,2
Prince Alexander Shtcherbatsky,Grisha,2
Nikolay Ivanovitch Sviazhsky,Konstantin Dmitrievitch Levin,98
Nikolay Ivanovitch Sviazhsky,Sergey Ivanovitch Koznishev,22
Nikolay Ivanovitch Sviazhsky,Count Alexey Kirillovitch Vronsky,40
Nikolay Ivanovitch Sviazhsky,Nikolay Levin,30
Nikolay Ivanovitch Sviazhsky,Princess Ekaterina Alexandrovna Shtcherbatsky,6
Nikolay Ivanovitch Sviazhsky,Princess Darya Alexandrovna,22
Nikolay Ivanovitch Sviazhsky,Grisha,2
Nikolay Ivanovitch Sviazhsky,Princess Varvara,14
Nikolay Ivanovitch Sviazhsky,Anna Arkadyevna Karenin,24
Nikolay Ivanovitch Sviazhsky,Vassenka Veslovsky,12
Nikolay Ivanovitch Sviazhsky,Prince Stepan Arkadyevitch Oblonsky,12
Nikolay Ivanovitch Sviazhsky,Alexey Alexandrovitch Karenin,4
