,station,stress,latitude,longitude,geometry,covid_19_deaths_per_thousand
123,bank,36681,51.513347062296,-0.0890001239496697,POINT (-0.0890001239496697 51.513347062296),1.459034792
124,borough,11978,51.50104886940699,-0.0941973231491299,POINT (-0.0941973231491299 51.50104886940699),0.0
125,elephant-and-castle,15694,51.495849382439204,-0.100738714840864,POINT (-0.100738714840864 51.4958493824392),0.870430241
126,kennington,12886,51.488662458334105,-0.10507061341036901,POINT (-0.105070613410369 51.4886624583341),0.193535901
127,oval,12053,51.4814126004267,-0.11332107586241001,POINT (-0.11332107586241 51.4814126004267),0.4459806
128,stockwell,20564,51.4721592557897,-0.122846304228405,POINT (-0.122846304228405 51.4721592557897),0.357781753
129,clapham-north,15656,51.464916214992506,-0.12991006289038198,POINT (-0.129910062890382 51.46491621499251),0.215866163
130,clapham-common,14186,51.46180366985229,-0.13831490249485098,POINT (-0.138314902494851 51.46180366985229),0.620116582
131,clapham-south,11393,51.4526764891153,-0.147984069598376,POINT (-0.147984069598376 51.4526764891153),0.113237459
132,balham,13041,51.44318256203261,-0.152685163343656,POINT (-0.152685163343656 51.44318256203261),0.113237459
133,barbican,6437,51.5202152835411,-0.0977215786403087,POINT (-0.0977215786403087 51.5202152835411),1.459034792
134,tottenham-court-road,38691,51.51621087007461,-0.131110438934185,POINT (-0.131110438934185 51.51621087007461),0.370988685
135,bond-street,51530,51.51379752478379,-0.14961360982794594,POINT (-0.1496136098279459 51.51379752478379),0.370988685
136,bayswater,8068,51.5121112883667,-0.18790157392744106,POINT (-0.1879015739274411 51.5121112883667),0.357174748
137,upney,4092,51.538405647702,0.10153174405096499,POINT (0.101531744050965 51.538405647702),0.122910521
138,becontree,3667,51.5395854092624,0.12688029173904,POINT (0.12688029173904 51.5395854092624),0.124455507
139,limehouse,4747,51.5123121635383,-0.0393800777495485,POINT (-0.0393800777495485 51.5123121635383),0.09797198
140,shadwell,4539,51.5113001552667,-0.0569192071261326,POINT (-0.0569192071261326 51.5113001552667),0.09797198
141,wapping,780,51.5043403163738,-0.0558608145326272,POINT (-0.0558608145326272 51.5043403163738),0.0
142,rotherhithe,780,51.501594504831196,-0.0529662964141603,POINT (-0.0529662964141603 51.5015945048312),0.279850746
143,canada-water,10879,51.4981684118441,-0.0508071209954049,POINT (-0.0508071209954049 51.4981684118441),0.279850746
144,bermondsey,11036,51.4979607802573,-0.0643300900477039,POINT (-0.0643300900477039 51.4979607802573),0.074543422
145,bethnal-green,5112,51.527191741204994,-0.0553921116245381,POINT (-0.0553921116245381 51.52719174120499),0.124455507
146,woodgrange-park,261,51.5490525352504,0.0445724961062516,POINT (0.0445724961062516 51.5490525352504),0.347061546
147,wanstead-park,307,51.5517780784731,0.0263899430085046,POINT (0.0263899430085046 51.5517780784731),0.362756953
148,leytonstone-high-road,312,51.5638073441885,0.00825446883118232,POINT (0.00825446883118232 51.5638073441885),0.305872757
149,leyton-midland-road,353,51.569364239337,-0.00806634743339343,POINT (-0.00806634743339343 51.569364239337),0.384024578
150,walthamstow-queens-road,334,51.581546191495114,-0.0238439433319081,POINT (-0.0238439433319081 51.58154619149511),0.535733419
151,brixton,6009,51.4627368020741,-0.11455209758661801,POINT (-0.114552097586618 51.4627368020741),0.92175338
152,camden-town,23609,51.53996935227701,-0.142452381051009,POINT (-0.142452381051009 51.53996935227701),0.306889673
153,chalk-farm,11415,51.5441490864876,-0.153733070875137,POINT (-0.153733070875137 51.5441490864876),1.255943303
154,belsize-park,9887,51.5501908776835,-0.163974492584094,POINT (-0.163974492584094 51.5501908776835),0.639249947
155,hampstead,8464,51.5565425953294,-0.17801455994679802,POINT (-0.178014559946798 51.5565425953294),0.0
156,golders-green,7618,51.57221553323521,-0.194834559142163,POINT (-0.194834559142163 51.57221553323521),0.698226505
157,brent-cross,5534,51.576599215060604,-0.21333584051056306,POINT (-0.2133358405105631 51.5765992150606),0.223064912
158,hendon-central,5131,51.583133046747704,-0.226734140088258,POINT (-0.226734140088258 51.5831330467477),0.481463649
159,colindale,3534,51.5952305160491,-0.250287543714841,POINT (-0.250287543714841 51.5952305160491),0.177999288
160,burnt-oak,2324,51.6025519118101,-0.264330712266273,POINT (-0.264330712266273 51.6025519118101),0.106575722
161,tower-hill,5187,51.5103942732372,-0.0767011984581268,POINT (-0.0767011984581268 51.5103942732372),0.0
162,monument,5852,51.51063041590179,-0.0861883136877794,POINT (-0.08618831368777941 51.51063041590179),1.459034792
163,cannon-street,8810,51.5113620889071,-0.0902505268833338,POINT (-0.09025052688333381 51.5113620889071),1.459034792
164,caledonian-road-and-barnsbury,2133,51.5432845754194,-0.11520485671489998,POINT (-0.1152048567149 51.5432845754194),0.464792006
165,kilburn,5933,51.54694443536611,-0.204632719131385,POINT (-0.204632719131385 51.54694443536611),1.194426012
166,willesden-green,4366,51.5493732864318,-0.22240760412448,POINT (-0.22240760412448 51.5493732864318),0.720357297
167,dollis-hill,2809,51.551850590714395,-0.2387977616805881,POINT (-0.2387977616805881 51.55185059071439),1.194426012
168,neasden,2194,51.554627717006504,-0.250115045332305,POINT (-0.250115045332305 51.5546277170065),0.636780438
169,wembley-park,7098,51.5633224581255,-0.27924255264977305,POINT (-0.279242552649773 51.5633224581255),0.602228245
170,kingsbury,2583,51.58487651699329,-0.278601608230903,POINT (-0.278601608230903 51.58487651699329),0.154846702
171,queensbury,1938,51.5938829754361,-0.286331597393279,POINT (-0.286331597393279 51.5938829754361),0.124533001
172,canons-park,1116,51.60765056954778,-0.29439159654004604,POINT (-0.294391596540046 51.60765056954778),0.616903146
173,st-pauls,11880,51.51483529593372,-0.0975710006650858,POINT (-0.0975710006650858 51.51483529593372),1.459034792
174,chancery-lane,12827,51.518494016584704,-0.11196202748568902,POINT (-0.111962027485689 51.5184940165847),0.138523341
175,mansion-house,9628,51.512091750122096,-0.0941976577543322,POINT (-0.0941976577543322 51.5120917501221),1.459034792
176,blackfriars,10584,51.5115869277802,-0.10299538523578697,POINT (-0.102995385235787 51.5115869277802),1.459034792
177,temple,8383,51.5110406072706,-0.113725750277665,POINT (-0.113725750277665 51.5110406072706),0.135722041
178,embankment,27483,51.50731249477679,-0.12236733652715699,POINT (-0.122367336527157 51.50731249477679),0.776020953
179,charing-cross,33163,51.5083586300048,-0.124802938133095,POINT (-0.124802938133095 51.5083586300048),0.135722041
180,tooting-bec,10103,51.435838064106704,-0.159700492309773,POINT (-0.159700492309773 51.4358380641067),0.306889673
181,tooting-broadway,8664,51.4270491448249,-0.16868452742757,POINT (-0.16868452742757 51.4270491448249),0.181175831
182,colliers-wood,4799,51.41875918776179,-0.177415099875595,POINT (-0.177415099875595 51.41875918776179),0.639386189
183,holborn,24912,51.517235735069285,-0.11984050743238,POINT (-0.11984050743238 51.51723573506928),0.138523341
184,covent-garden,14582,51.512760234858206,-0.12450689463272302,POINT (-0.124506894632723 51.51276023485821),0.135722041
185,dagenham-heathway,3024,51.54121179095471,0.14767972018313802,POINT (0.147679720183138 51.54121179095471),0.232306024
186,dagenham-east,2036,51.5441873390151,0.165833431683368,POINT (0.165833431683368 51.5441873390151),0.344589938
187,ealing-broadway,6503,51.514861974896405,-0.302010381444888,POINT (-0.302010381444888 51.51486197489641),0.124672734
188,marble-arch,16596,51.51396549179051,-0.158571216249827,POINT (-0.158571216249827 51.51396549179051),0.41467966
189,lancaster-gate,13999,51.511890943083706,-0.175429928574922,POINT (-0.175429928574922 51.51189094308371),0.481463649
190,queensway,13311,51.510449232949895,-0.18741990308706696,POINT (-0.187419903087067 51.5104492329499),0.357174748
191,notting-hill-gate,20888,51.509375336345386,-0.19592161845508504,POINT (-0.195921618455085 51.50937533634539),0.8256502
192,holland-park,11189,51.50714648390579,-0.206557777890637,POINT (-0.206557777890637 51.50714648390579),0.287521564
193,shepherds-bush,14090,51.504532150984105,-0.218519159443698,POINT (-0.218519159443698 51.5045321509841),0.261278523
194,white-city,8374,51.512232437641494,-0.22463193144813,POINT (-0.22463193144813 51.51223243764149),0.260846883
195,east-acton,7083,51.51626341426889,-0.24811222486180104,POINT (-0.248112224861801 51.51626341426889),0.260846883
196,highgate,7020,51.5776466172769,-0.14693486218376506,POINT (-0.1469348621837651 51.5776466172769),1.81665735
197,east-finchley,5431,51.5873325447116,-0.164743886020014,POINT (-0.164743886020014 51.5873325447116),0.630994447
198,east-ham,4036,51.5392461649047,0.0515162933203073,POINT (0.0515162933203073 51.5392461649047),0.800355714
199,preston-road,3102,51.572103728155795,-0.294972012548964,POINT (-0.294972012548964 51.5721037281558),0.084545147
200,northwick-park,2511,51.57850868801479,-0.31819939191086705,POINT (-0.318199391910867 51.57850868801479),0.618110642
201,harrow-on-the-hill,8461,51.5793881186851,-0.33700151732302597,POINT (-0.337001517323026 51.5793881186851),0.104058273
202,west-harrow,3253,51.578924237987614,-0.35384669716506706,POINT (-0.3538466971650671 51.57892423798761),0.368459838
203,eastcote,3780,51.576551823245,-0.39682329933106103,POINT (-0.396823299331061 51.576551823245),0.475680818
204,marylebone,9226,51.5223966684401,-0.163492563860306,POINT (-0.163492563860306 51.5223966684401),0.400721298
205,edgware-road-bakerloo,3043,51.5206453612591,-0.17053955158627696,POINT (-0.170539551586277 51.5206453612591),0.816890788
